;1_46;2_184;3_389;4_772;5_917;6_1049;adlt;bnk;car;ches;ltr;mgic;msk;p-blk;pim;s-gc;s-im;s-pl;s-sh;sem;spam;thy;tita;wine
EGO-ws;6.89;54.61;14.17;43.47;10.9;9.89;14.35;10.07;8.76;75.08;2.38;12.45;11.72;3.92;21.99;21.99;2.72;35.89;0.09;4.32;7.3;0.28;22.04;40.56
EGO-ss;6.95;54.55;14.17;43.49;10.81;9.76;14.35;10.04;8.81;74.94;2.38;12.35;9.4;3.87;21.73;21.72;2.7;35.39;0.09;4.3;7.24;0.26;21.87;40.37
EGO-impute;6.81;59.98;14.01;43.48;10.6;9.74;14.35;10.27;8.8;75.51;3.29;13.06;9.51;3.97;22.08;22.54;2.85;36.39;0.1;6.28;7.04;0.38;22.16;40.72
EGO-baseline;6.78;54.63;14.02;43.53;10.78;9.84;14.3;10.07;9.0;75.87;2.42;12.46;11.34;3.9;22.04;22.01;2.82;36.56;0.07;4.69;7.04;0.24;21.65;40.47
Sklearn;6.68;63.92;17.15;44.44;10.3;9.6;14.0;10.44;9.32;80.59;5.42;13.07;13.35;4.0;22.68;23.28;2.93;35.96;0.03;4.71;7.22;0.24;26.26;41.46
RS;0.09;18.39;14.20;46.61;46.17;11.85;14.44;10.70;1.45;20.73;3.14;12.76;0.64;3.34;23.83;23.25;3.77;24.09;0.09;6.07;5.67;1.10;24.06;37.30
Spearmint;0.22;33.02;20.32;44.63;46.37;12.05;15.53;10.83;6.16;31.77;8.81;13.61;2.66;3.17;23.44;23.10;4.52;27.42;0.86;9.47;6.86;2.09;21.50;35.62
SMAC;0.09;13.62;14.22;44.63;46.27;12.60;14.42;10.59;0.92;17.40;2.83;12.66;0.26;3.48;23.38;23.45;3.31;23.96;0.08;4.40;5.84;1.12;22.70;36.61
CMA;0.09;18.02;14.26;44.66;46.67;11.88;14.48;10.64;2.63;19.08;3.04;12.66;1.85;3.09;23.96;23.75;3.66;25.06;0.07;6.10;5.69;1.09;23.74;35.56
GP-matern-noimpute;0.11;25.11;17.52;44.63;46.82;11.61;14.50;10.61;4.65;26.45;3.87;12.40;2.38;3.05;23.51;23.50;3.42;25.91;0.08;8.98;5.87;1.61;23.79;33.23
GP-matern;0.09;12.68;14.10;45.32;48.36;11.20;14.36;10.72;0.75;18.29;3.16;12.53;0.27;2.55;23.70;23.35;3.51;23.53;0.05;4.98;5.27;1.11;21.36;33.54
GP-cond;0.11;18.72;15.48;44.91;47.21;15.92;14.33;10.51;0.72;18.75;3.47;12.44;0.28;2.50;24.29;23.75;2.84;24.04;0.04;4.89;5.28;1.10;21.77;32.76
GP-laplace;0.13;21.60;17.08;44.89;45.97;12.36;14.39;10.51;2.34;23.25;8.18;13.03;2.11;2.72;24.68;23.45;3.27;24.14;0.09;7.43;5.28;1.10;20.93;34.50
GP-matern-ls;0.06;11.78;20.10;45.60;46.27;11.88;14.39;10.35;0.84;16.18;3.48;12.49;0.26;2.60;24.61;23.10;2.71;23.17;0.03;5.29;5.01;1.09;21.52;33.17
GP-cond-ls;0.06;12.95;14.12;44.56;46.02;11.51;14.34;10.45;0.81;16.43;2.62;12.22;0.26;2.54;23.70;23.05;2.64;23.48;0.57;4.74;4.86;1.09;21.72;32.20
GP-laplace-ls;0.13;17.87;14.68;44.89;47.06;11.82;14.38;10.20;1.39;19.56;4.19;12.72;1.73;2.49;23.51;23.30;3.23;24.27;0.04;7.59;5.17;1.35;20.45;32.98